Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL1017,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,4.913640169,7.26442,514.629,6,5,1,6,7,72.94
CHEMBL104850,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1,7.537602002,4.94142,416.477,4,5,1,4,9,77.49
CHEMBL107367,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,6.91721463,6.61032,546.623,5,6,2,5,12,101.66
CHEMBL107498,CCCCCCCCCC(=O)O,4.522878745,3.2117,172.268,0,1,1,0,8,37.3
CHEMBL107789,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,4.356547324,4.2973,409.404,2,3,2,2,8,75.63
CHEMBL107991,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,6.200659451,6.8463,520.622,3,6,1,4,13,83.45
CHEMBL1082079,CCCCOc1ccc(-c2ccc(C(=O)O)cc2C)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,8,6.62702,503.492,3,3,2,3,9,75.63
CHEMBL108766,CCCCCCCCCCCC(=O)O,4.522878745,3.9919,200.322,0,1,1,0,10,37.3
CHEMBL1089164,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(F)cc4)oc3C)c2)cc1,5.638272164,5.76214,504.514,4,6,1,4,9,102.1
CHEMBL1089176,Cc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccc(Cl)cc4)oc3C)cc2)cc1,6.849550591,6.31894,534.996,4,6,1,4,10,102.1
CHEMBL1089500,CCCOC(=O)N(CC(=O)O)Cc1cccc(OCc2nc(-c3ccc(Cl)cc3)oc2C)c1,4.986741335,5.31562,472.925,3,6,1,3,10,102.1
CHEMBL1089969,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(-c5ccccc5)cc4)oc3C)c2)cc1,5.70158362,7.29004,562.622,5,6,1,5,10,102.1
CHEMBL1089970,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(N5CCOCC5)cc4)oc3C)c2)cc1,5.922995673,5.45964,571.63,4,8,1,5,10,114.57
CHEMBL1090187,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(C(C)(C)C)cc4)oc3C)c2)cc1,6.316052869,6.92054,542.632,4,6,1,4,9,102.1
CHEMBL1090188,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(C#N)cc4)oc3C)c2)cc1,5.139242877,5.49472,511.534,4,7,1,4,9,125.89
